Countries;31/12/2019;01/01/2020;02/01/2020;03/01/2020;04/01/2020;05/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;11/01/2020;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020;26/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;01/02/2020;02/02/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;08/02/2020;09/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;15/02/2020;16/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;22/02/2020;23/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;29/02/2020;01/03/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;07/03/2020;08/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020;22/09/2020;23/09/2020;24/09/2020;25/09/2020;26/09/2020;27/09/2020;28/09/2020;29/09/2020;30/09/2020;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020;02/11/2020;03/11/2020;04/11/2020;05/11/2020;06/11/2020;07/11/2020;08/11/2020;09/11/2020;10/11/2020;11/11/2020;12/11/2020;13/11/2020
Falkland_Islands_(Malvinas);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Faroe_Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;6;2;7;29;25;8;12;23;3;4;10;8;4;11;4;9;1;4;4;2;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;23;6;0;0;5;0;0;0;2;14;0;50;0;0;22;11;15;23;0;8;2;1;0;9;1;1;0;0;26;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;2;5;0;5;0;1;1;1;3;3;11;3;4;3;2;0;0;3;4;5;0;1;1;1;0;1;1;0;0;0;0;0;1;2;2;1;2;0;3;0;2;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
Fiji;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;2;0;5;0;2;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Finland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;1;0;5;7;0;11;10;0;19;96;28;27;57;5;47;50;31;50;71;105;74;92;88;78;67;193;0;95;71;62;72;97;267;45;249;132;179;118;164;136;69;90;97;76;132;120;192;102;85;146;115;155;111;80;101;119;45;166;89;56;128;75;73;85;161;100;65;142;82;22;19;51;91;83;58;61;33;19;44;50;44;31;11;20;29;64;51;33;50;33;26;2;24;0;30;23;17;20;24;15;24;9;14;17;4;4;5;0;16;9;1;1;11;12;5;19;0;0;18;5;22;5;28;1;2;3;1;7;4;3;0;2;1;0;0;0;8;17;20;2;11;11;10;8;8;5;5;6;10;9;9;11;10;13;17;29;20;22;14;16;17;22;19;41;17;20;11;21;24;29;37;29;35;14;18;43;21;17;23;7;28;9;56;19;39;25;36;30;36;10;93;39;43;45;23;47;98;25;49;59;64;58;66;149;93;91;105;93;105;52;158;100;111;101;40;294;164;227;120;296;235;269;149;214;287;204;291;139;160;131;131;294;222;184;219;178;196;122;193;215;188;344;203;178;109;237;293;189;266;0;412;90;220;238;0
France;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3;21;19;43;30;48;34;73;138;190;103;410;286;372;497;595;785;838;924;1210;1097;1404;1861;1617;1847;1559;3838;2446;2931;3922;3809;4611;2599;4376;7578;4861;2116;5233;4267;1873;3912;3777;3881;4286;4342;3114;1613;2673;5497;2633;2641;405;2569;785;2051;2667;1827;1653;1773;1537;461;1195;1065;1607;1139;604;794;308;576;1104;4183;629;642;433;209;456;708;507;622;563;372;120;492;524;418;318;403;240;115;358;276;191;3325;597;1828;257;338;-766;352;767;611;579;343;211;403;545;425;726;526;407;152;344;458;467;811;641;284;373;517;81;0;1588;0;0;1324;541;918;659;582;0;0;1375;475;663;621;658;0;0;1625;0;927;534;836;0;0;2080;584;998;1062;1130;0;0;2551;725;1392;1377;1346;0;0;3376;1039;1695;1604;2288;0;0;4854;1397;2524;2669;2846;3310;3015;493;2238;3776;4771;4586;3602;4897;1955;3304;5429;6111;7379;5453;5413;3082;4982;7017;7157;8975;8550;7071;4203;6544;8577;9843;9406;10561;7183;6158;7852;9784;10593;13215;13498;11569;4298;10008;13072;16096;15797;14412;11123;4070;8051;12845;13970;12148;16972;12545;5104;10489;18746;18129;20339;26896;16101;8505;12993;22591;30621;25086;32427;29837;13243;20468;26676;41622;42032;45422;52010;26771;33417;36437;47637;49215;32641;49290;52518;36330;40558;58046;60486;86852;38619;20155;22180;35879;0
French_Polynesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;12;2;1;5;2;0;5;0;4;1;1;1;0;0;2;1;1;0;6;4;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;6;11;16;0;26;19;0;21;0;4;0;0;74;0;43;0;67;0;0;107;46;23;0;36;62;0;17;0;84;0;96;0;0;146;72;26;55;19;62;47;14;0;0;0;0;0;0;334;0;0;124;174;0;0;264;0;62;0;402;0;0;497;0;322;62;162;62;0;0;751;62;489;698;0;0;62;634;0;769;0;0;0;0;1384;303;338;467;241;0;0;685;291;0
Gabon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;3;0;0;0;1;0;0;0;0;9;2;0;3;0;0;0;9;3;11;2;3;8;0;18;12;8;13;1;0;11;36;10;1;5;4;0;35;27;38;0;32;27;0;32;30;42;65;116;41;0;141;61;141;100;105;111;0;112;70;65;0;161;206;0;201;103;81;112;182;42;0;0;148;99;53;146;0;0;146;47;81;88;0;0;0;570;81;115;111;88;0;0;311;134;83;131;122;0;0;185;0;119;0;107;0;0;123;0;128;0;71;0;0;84;0;95;0;194;0;0;118;0;155;0;396;0;0;205;0;163;0;0;179;0;115;0;141;0;136;0;0;83;0;71;0;148;0;0;45;0;49;0;69;0;0;21;0;59;0;37;0;0;28;0;5;0;63;0;0;7;0;13;0;22;0;0;11;0;24;0;18;0;0;8;0;12;0;12;0;0;24;0;14;0;31;0;0;11;0;7;0;20;0;0;25;0;9;0;12;0;0;3;0;17;0;18;0;0;18;0;20;0;11;0;0;16;0;21;0;17;0;0;7;0;19;0
Gambia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;0;1;2;0;0;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;1;0;4;1;0;1;1;1;0;2;0;2;6;0;2;0;4;0;2;1;0;0;0;0;0;0;14;0;15;0;19;0;34;24;46;61;0;49;0;0;77;95;0;0;0;173;128;136;155;0;145;0;111;131;79;67;66;183;0;0;416;113;36;0;0;148;101;22;35;54;98;68;0;66;38;34;19;30;47;0;78;18;37;32;14;29;0;23;12;33;12;19;22;14;0;2;10;3;0;14;0;10;0;5;1;5;4;0;19;0;4;4;7;4;4;0;8;0;5;0;0;6;0;2;2;0;0;1;5;0;1;0;4;2;0;0;7;1;0;1;3;0;0;0;13;0
Georgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;6;0;3;1;2;8;1;1;5;0;0;3;1;0;6;3;6;5;7;9;3;6;2;4;5;8;12;5;6;27;9;17;14;8;15;7;16;8;15;15;28;6;42;22;18;6;8;6;8;9;19;12;30;11;14;6;22;43;0;7;4;11;6;5;8;3;9;3;4;5;20;4;24;6;1;5;6;8;2;5;2;1;1;3;3;8;11;26;13;4;0;1;4;3;0;4;6;9;4;12;8;28;0;9;5;2;1;2;10;3;3;3;2;2;3;2;2;0;3;8;7;2;5;5;5;5;5;8;5;9;4;4;3;0;12;10;0;11;10;24;31;13;14;6;8;10;0;5;8;3;6;5;15;9;0;7;12;25;14;14;5;23;0;15;20;10;10;0;9;15;9;17;10;15;11;8;7;0;25;0;23;38;20;28;25;19;44;89;57;87;158;0;317;0;366;179;182;187;196;193;218;227;259;0;265;590;298;314;0;774;453;471;554;0;578;549;508;472;527;519;523;478;569;680;919;887;958;1192;1186;1194;1351;1595;1759;3869;1872;1824;1731;1709;1696;1673;1791;1852;1943;2295;2401;2775;2859;2901;2927;2970;2911;3120;0
Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;2;1;1;2;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;26;10;54;18;28;39;66;138;284;163;55;237;157;271;802;693;733;1043;1174;1144;1042;5940;4049;3276;3311;4438;2342;4954;5780;6294;3965;4751;4615;5453;6156;6174;6082;5936;3677;3834;4003;4974;5323;4133;2821;2537;2082;2486;2866;3380;3609;2458;1775;1785;2237;2352;2337;2055;1737;1018;1144;1304;1478;1639;945;793;679;685;947;1284;1209;1251;667;357;933;798;933;913;620;583;342;513;797;745;460;638;431;289;432;362;353;741;738;286;333;213;342;394;507;407;301;214;350;318;555;258;348;247;192;378;345;580;770;601;687;537;503;587;630;477;687;256;262;498;466;503;446;422;239;219;390;397;442;395;378;248;159;412;351;534;583;529;202;249;522;454;569;815;781;305;340;633;684;902;870;955;240;509;879;741;1045;1147;1122;555;436;966;1226;1445;1449;1415;625;561;1390;1510;1707;1427;2034;782;711;1278;1576;1507;1571;1479;785;610;1218;1256;1311;1453;1378;988;814;1499;1176;1892;1484;1630;948;927;1407;1901;2194;1916;2297;1345;922;1821;1769;2143;2153;2507;1410;1192;2089;1798;2503;2673;2563;2279;1382;2639;2828;4058;4516;4721;3483;2467;4122;5132;6638;7334;7830;5587;4325;6868;7595;11287;11242;14714;11176;8685;11409;14964;16774;18681;19059;14177;12097;15352;17214;19990;21506;23399;16017;13363;15332;18487;21866;0
Ghana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;1;4;5;5;3;3;26;15;64;5;4;11;0;0;43;9;1;9;0;73;0;26;65;0;30;158;0;70;5;0;0;193;208;0;0;112;0;125;0;271;0;121;0;403;0;95;0;550;0;372;0;921;251;0;437;427;281;122;108;97;0;0;361;173;217;131;0;66;125;309;186;0;313;152;302;0;227;251;337;283;294;176;272;291;157;0;760;304;542;0;229;397;339;274;508;443;0;414;445;460;361;597;920;0;390;393;0;1254;0;697;992;891;854;641;371;414;270;470;0;442;695;447;488;607;763;559;683;694;691;794;1118;655;782;736;0;359;1513;0;798;0;1263;1022;0;436;470;209;192;321;122;216;147;322;121;340;101;166;65;180;0;117;95;124;0;108;169;87;93;162;198;55;64;0;0;235;0;301;0;75;46;0;167;54;0;59;143;20;127;58;54;37;69;0;0;165;95;0;174;0;38;109;26;0;0;0;118;40;18;0;25;96;0;47;0;59;78;62;89;0;77;63;89;0;85;0;0;280;0;69;0;76;0;443;145;0;116;298;0;100;0;0
Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;5;0;0;11;9;20;1;9;4;0;0;19;7;3;5;6;4;7;3;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;3;5;0;0;0;3;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;2;0;4;0;8;1;2;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;7;0;0;4;2;2;1;3;6;2;5;1;6;0;0;0;19;8;14;2;2;1;10;0;5;5;0;10;7;3;0;5;2;1;0;4;3;0;4;0;9;0;3;4;0;5;2;4;3;8;7;3;9;5;14;6;12;4;0;5;8;7;16;8;9;1;13;17;15;13;14;13;6;31;13;9;11;19;7;3;9;3;6;5;4;6;4;23;13;11;16;15;8;12;9;28;0
Greece;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;3;22;13;21;7;11;6;9;34;57;38;103;21;35;31;46;31;35;94;71;48;78;71;74;95;95;56;102;61;139;99;60;62;20;77;52;71;56;70;33;31;25;22;15;0;0;28;10;156;7;55;27;16;0;28;0;42;15;0;29;6;6;10;21;15;13;19;6;10;18;16;10;40;9;15;2;4;10;3;20;3;2;4;10;11;3;3;6;2;1;19;0;15;15;13;17;52;9;10;20;20;4;9;13;14;55;24;10;19;10;21;15;8;11;22;23;10;14;19;23;26;28;25;8;43;27;33;50;60;40;31;23;57;27;29;25;19;24;5;36;29;33;25;31;27;34;52;57;65;76;110;75;75;118;118;150;147;151;202;126;193;235;204;251;226;217;147;250;212;250;204;243;283;155;168;293;251;269;177;157;183;207;233;241;202;186;138;139;169;248;372;282;302;204;180;310;311;359;338;240;164;453;333;358;341;286;315;216;263;416;352;411;460;267;229;300;399;406;434;391;306;280;294;408;435;452;503;482;438;432;667;865;882;841;935;790;714;1256;1547;1211;1686;2055;1678;1151;2166;2646;2915;2447;2555;1889;1489;2383;2751;0
Greenland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;1;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grenada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;2;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0
Guam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;2;1;12;2;3;5;12;2;4;1;4;9;8;5;5;6;17;2;9;4;3;2;3;0;1;1;0;0;1;0;0;0;0;1;3;1;0;1;2;1;0;1;0;2;1;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;11;0;0;1;0;0;3;2;1;0;1;2;0;2;2;0;0;0;0;1;0;2;0;3;0;0;1;2;4;8;0;22;0;3;1;5;16;1;0;5;4;10;13;6;2;0;13;2;0;6;1;2;0;0;0;1;1;0;1;0;4;8;3;2;5;0;0;9;3;2;3;2;3;0;9;7;14;8;14;1;0;6;16;15;0;28;25;14;42;19;22;0;105;63;53;0;87;77;136;112;55;60;0;48;52;0;113;59;0;0;52;42;45;88;17;28;0;36;0;39;79;0;72;0;30;43;45;0;51;68;0;36;53;0;107;0;149;0;54;65;0;116;55;89;0;92;96;75;86;190;0;58;81;130;82;88;85;75;0;120;96;34;0;215;9;3;0;119;91;101;109;0;120;0;421;101;0
Guatemala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;2;1;4;4;2;1;1;3;1;7;2;2;0;2;8;1;3;11;9;4;6;7;39;11;16;3;11;13;16;18;21;22;32;5;22;26;42;46;43;27;30;27;28;14;45;44;15;27;33;35;34;68;67;85;62;85;143;176;125;120;149;89;132;132;247;231;311;370;336;194;191;203;259;132;348;249;250;174;394;331;307;263;447;364;355;340;421;509;354;427;434;545;617;641;246;390;624;771;279;800;209;569;533;479;687;915;1061;1221;1208;747;724;815;624;1247;961;979;757;387;1130;1202;865;870;4233;635;362;1190;906;1057;1091;1209;561;0;6;2546;1221;963;1190;327;236;823;1144;830;931;919;416;382;979;1123;1195;1144;885;249;382;903;1034;1102;958;915;332;345;1118;1063;1142;1065;758;233;162;819;771;694;682;441;202;145;893;901;684;703;649;251;263;512;240;740;680;808;292;237;942;819;491;945;824;390;171;705;778;663;681;658;215;219;688;834;776;455;609;171;111;554;714;671;666;597;332;239;620;196;757;730;730;155;107;677;749;470;549;600;165;0;379;664;702;653;548;212;98;769;682;0
